"Source","Target","Weight"
"a-s-jyske-bank","eesti-kreditbank-tallinn-estonia-est",43180.5
"ab-dnb-bankas","bta-bank-almaty-kazakhstan-kaz",1323430
"ab-dnb-bankas","jiangsu-rugao-rural-commercial-bank-co-ltd-rugao-jiangsu-china-chn",176131.04
"ab-dnb-bankas","shanghai-pudong-development-bank-shanghai-china-chn",377238.27
"ab-dnb-bankas","temir-bank-almaty-kazakhstan-kaz",3000
"abanca-corporacion-bancaria-sa","bank-of-china-macau-mac",159950
"abc-banking-corporation-ltd","firstcaribbean-international-bank-tortola-virgin-islands-british-vgb",5950
"ablv-bank","bank-of-tokyo-mitsubishi-ufj-ltd-london-gbr",19322.59
"ablv-bank","canara-bank-new-delhi-india-ind",99247
"ablv-bank","the-bank-of-tokyo-mitsubishi-ufj-ltd-new-york-usa",12996
"ablv-bank-as","bank-julius-baer-and-co-ag-zurich-switzerland-che",4260000
"ablv-bank-as","lgt-bank-ltd-vaduz-liechtenstein-lie",7959654
"ablv-bank-as","standard-chartered-bank-dubai-uae-are",671828
"ablv-bank-as","ubs-ag-zurich-switzerland-che",3505035.83
"abn-amro-bank","deutsche-bank-in-ind",4700
"abn-amro-bank","standard-chartered-bank-hong-kong-limited-hong-kong-hkg",242918.68
"abn-amro-bank-nv","as-expobank-riga-latvia-lva",4820000
"abn-amro-bank-nv","bank-of-china-macau-branch-china-chn",27625
"abn-amro-bank-nv","caledonian-bank-limited-georgetown-ky-cym",2212262.18
"abn-amro-bank-nv","credit-suisse-ag-geneva-switzerland-che",13831088.66
"abn-amro-bank-nv","dms-bank-trust-ltd-georgetown-cayman-islands-cym",1827215
"abn-amro-bank-nv","liechtensteinische-landesbank-vaduz-liechtenstein-lie",1429569.43
"abn-amro-bank-nv-amsterdam-netherlands-nld","credit-suisse-ag-zurich-switzerland-che",2431100
"abn-amro-bank-nvamsterdam","trasta-komercbanka-riga-latvia-lva",2416667
"abu-dhabi-commercial-bank","credit-europe-bank-nv-amsterdam-netherlands-nld",461620.75
"abu-dhabi-commercial-bank","the-national-bank-of-rasras-al-khaimah-uae-are",22636
"active-bank","unicredit-bank-austria-ag-vienna-austria-aut",829000
"aegean-baltic-bank-sa","dnb-nor-bank-asa-london-england-gbr",6500000
"agropromcredit","jsc-norvik-banka-riga-latvia-lva",3035863.55
"ahli-bank-qsc","idbi-bank-ltd-dubai-uae-are",1798200
"aib-allied-irish-bank","pnc-bank-usa-usa",6025
"aig-private-bank","bank-cimb-niaga-tbk-jakarta-indonesia-idn",4432206
"aig-private-bank","pt-bank-cimb-niaga-tbk-jakarta-indonesia-idn",459985
"aizkraukles","rosbank-moscow-russia-rus",1620000
"aizkraukles-banka","bank-vozrozhdenie-moscow-russia-rus",64472141.23
"aizkraukles-banka","bankvozrozhdenie-moscow-russia-rus",21850000
"aizkraukles-banka","bnp-paribas-suisse-sa-geneva-switzerland-che",4880673.35
"aizkraukles-banka","credit-europe-bank-nv-amsterdam-netherlands-nld",1032644.91
"aizkraukles-banka","first-national-bank-salbeirut-beirut-lebanon-lbn",72188.43
"aizkraukles-banka","helm-bank-usa-usa",112882
"aizkraukles-banka","hsbc-hong-kong-hkg",5257133.9
"aizkraukles-banka","israel-postal-bank-israel-isr",150090
"aizkraukles-banka","nurbank-jsc-almaty-kazakhstan-kaz",412255.87
"aizraulkles-banka","amsterdam-trade-bank-n-v-netherlands-nld",1464239.43
"aizraulkles-banka","as-sampo-pank-tallinn-estonia-est",1186580.13
"aizraulkles-banka","coutts-bank-von-ernst-ltd-switzerland-che",665657.56
"aizraulkles-banka","danske-bank-as-denmark-dnk",591686.4
"aizraulkles-banka","emirates-bank-international-ltd-united-arab-emirates-are",3254855.38
"aizraulkles-banka","hong-kong-and-shanghai-banking-corp-hong-kong-hkg",4721316.13
"aizraulkles-banka","hypo-vereinsbank-ag-germany-deu",1391814.73
"akbank-tas","credit-europe-bank-nv-amsterdam-netherlands-nld",8101106.69
"akbank-tas","nordea-bank-danmark-as-copenhagen-denmark-dnk",2e+05
"akciju-komercbanka-baltikums","ping-an-bank-co-ltd-east-shenzhen-china-chn",1706000
"aktia-savings-bank","trasta-komercbanka-riga-latvia-lva",1790441.6
"aktsionernyy-kommercheskiy-bank-basmannyy","united-overseas-bank-limited-singapore-sgp",27179000
"al-baraka-bank-egypt","as-expobank-riga-latvia-lva",2593696
"al-mawarid-bank","bank-of-china-limited-china-chn",1149820
"al-watany-bank-of-egypt","standard-chartered-bank-hk-ltd-hong-kong-hkg",117453
"albaraka-bank","as-expobank-riga-latvia-lva",1e+06
"albaraka-bank-egypt","as-expobank-riga-latvia-lva",5366304
"albaraka-turk-participation-bank","baltikums-bank-riga-latvia-lva",1838624
"alfa-bank","baltikums-bank-as-riga-latvia-lva",15402986.98
"alfa-bank","baltikums-bank-latvia-lva",112434313.77
"alfa-bank","dbs-bank-ltd-singapore-sgp",4e+06
"alfa-bank","ing-bank-netherland-n-v-netherlands-nld",43675000
"alfa-bank","jp-morgan-london-united-kingdom-gbr",44851837.54
"alfa-bank","jsc-norvik-banka-latvia-lva",22197285.78
"alfa-bank","jsc-norvik-banka-riga-latvia-lva",23355626.81
"alfa-bank","ltb-bank-riga-latvia-lva",1140000
"alfa-bank","privatbank-ihag-zurich-switzerland-che",320000
"alfa-bank","rosbank-moscow-russia-rus",11702000
"alfa-bank","ubs-ag-switzerland-che",27129231.25
"alfa-bank","versobank-as-tallinn-estonia-est",1468740.8
"alfa-exchange","helm-bank-usa-usa",28221.15
"alfabank","as-akciju-komercbanka-baltikums-riga-latvia-lva",2e+06
"alfabank","as-expobank-riga-latvia-lva",1624591.66
"alfabank","baltikums-bank-riga-lv-lva",13805862.73
"alfabank","baltikums-bank-rigalatvia-lva",2713800
"alfabank","banco-de-la-produccion-sa-guayaquil-ecuador-ecu",270
"alfabank","banco-de-sabadell-sa-maimi-fl-usa",270
"alfabank","banco-del-pichincha-quito-ecuador-ecu",20163
"alfabank","bank-hapoalim-b-m-tel-aviv-israel-isr",1105
"alfabank","bbva-colombia-bogota-columbia-col",2250
"alfabank","fbme-bank-ltd-nicosia-cyprus-cyp",7615000
"alfabank","jsc-norvik-banka-riga-latvia-lva",11025430.44
"alfabank","nic-bank-ltd-nairobi-kenya-ken",1095
"alfabank","norvik-banka-jsc-riga-latvia-lva",16955010
"alfabank","produbanco-quito-ecuador-ecu",770
"alfabank","versobank-as-tallinn-city-estonia-est",606050
"alfabank","versobank-as-tallinn-estonia-est",8259388
"alfabank","wells-fargo-bank-na-miami-fl-usa",180
"alior-bank-sa","bank-of-baroda-dubai-uae-are",54997.31
"alior-bank-sa","deutsche-bank-ag-prague-czech-republic-cze",144860.2
"alior-bank-sa","jsc-norvik-banka-riga-latvia-lva",90000
"alior-bank-sa","rietumu-banka-jsc-riga-latvia-lva",3701331
"alior-bank-spolka-akcyjna","ltb-bank-riga-latvia-lva",632734
"alliance-bank","jsc-norvik-banka-riga-latvia-lva",3590000
"aloir-bank-spolka-akcyjna","marfin-popular-bank-public-co-ltd-nicosia-cyprus-cyp",159499
"alpha-bank-cyprus-ltd","pnc-bank-usa-usa",110000
"american-business-bank","standard-chartered-bank-hong-kong-ltd-hong-kong-hkg",91342
"american-express-bank-ltd","bank-of-butterfield-international-cayman-limited-georgetown-cayman-islands-cym",33006793.32
"amicorp-bank-and-trust-ltd","credit-suisse-singapore-branch-sgp",3e+06
"amicorp-bank-and-trust-ltd","credit-suisse-singapore-branch-singapore-sgp",3e+06
"amro-bank","hsbc-hong-kong-hkg",1130000
"amsterdam-trade-bank","ab-dnb-nord-bankas-vilnius-lithuania-ltu",110000
"amsterdam-trade-bank-nv","raiffeisen-bank-international-ag-vienna-austria-aut",402600476
"amsterdam-trade-bank-nv","rosbank-moscow-russia-rus",2747023352.12
"amsterdam-trade-bank-nv","seb-bank-tallinn-estonia-est",8319374
"amsterdam-trade-bank-nv","united-overseas-bank-limited-singapore-sgp",3e+07
"amsterdam-trade-bank-nv","united-overseas-bank-ltd-singapore-sgp",44418271
"amsterdam-trade-bank-nv","vtb-bank-austria-ag-vienna-austria-aut",2703000
"anadolubank-as","baltikums-bank-riga-lv-lva",2887009.14
"andbanc","banco-santander-peru-sa-lima-peru-per",3625024.99
"andbanc-monaco","magnet-bank-zrt-budapest-hungary-hun",847989.58
"anlage-und-privatbank-ag","azerpost-baku-azerbaijan-aze",7699923.89
"anz-royal-bank","united-overseas-bank-limited-singapore-sgp",50000
"ao-raiffeisenbank","banco-del-pichincha-quito-ecuador-ecu",2220
"ao-raiffeisenbank-treasury-services","industrial-bank-of-korea-seoul-south-korea-kor",95779.6
"ap-anlage-und-privatbank-ag","azerpost-baku-azerbaijan-aze",22342241.22
"apex-clearing-corporation","wells-fargo-san-francisco-ca-usa",1065837.1
"arab-bank-for-investment","td-bank-na-cherry-hill-nj-usa",69500
"arab-bank-for-investment","td-bank-west-palm-beach-fl-usa",323400
"arab-bank-for-investment-foreign-trade","bank-of-america-na-new-york-ny-usa",7794147
"arab-bank-for-investment-foreign-trade","de-surinaamsche-bank-n-v-paramaribo-suriname-sur",500950
"arab-bank-for-investment-foreign-trade","deutsche-bank-aglondon-england-gbr",1160000
"arab-bank-for-investment-foreign-trade","industrial-and-commercial-bank-of-china-asia-ltd-hong-kong-hkg",6684390
"arab-bank-for-investment-foreign-trade","nanyang-commercial-bank-ltd-beijing-china-chn",11067775
"arab-bank-for-investment-foreign-trade","rbtt-bank-suriname-nv-paramaribo-suriname-sur",750000
"arab-turkish-bank","mashreqbank-psc-dubai-uae-are",98950
"aresbank","barclays-bank-plc-knightsbridge-united-kingdom-gbr",6750000
"armbusinessbank","ab-dnb-bankas-vilnius-lithuania-ltu",1e+05
