"Id","Label","Country"
"a-s-jyske-bank","A-S Jyske Bank","Denmark"
"ab-bankas-snoras-lithuania-ltu","AB Bankas Snoras","Lithuania"
"ab-dnb-bankas","AB DNB Bankas","Lithuania"
"ab-dnb-bankas-lithuania-ltu","AB DNB Bankas","Lithuania"
"ab-dnb-bankas-vilnius-lithuania-ltu","AB DNB Bankas","Lithuania"
"ab-dnb-nord-bankas-vilnius-lithuania-ltu","AB DNB Nord Bankas","Lithuania"
"abanca-corporacion-bancaria-sa","Abanca Corporacion Bancaria, S.A.","Spain"
"abc-banking-corporation-ltd","Abc Banking Corporation Ltd","Mauritius"
"ablv-bank","ABLV Bank","Latvia"
"ablv-bank-as","ABLV Bank AS","Latvia"
"ablv-bank-as-latvia-lva","ABLV Bank AS","Latvia"
"ablv-bank-as-riga-latvia-lva","ABLV Bank, AS","Latvia"
"ablv-bank-latvia-lva","ABLV Bank","Latvia"
"ablv-bank-riga-latvia-lva","ABLV Bank","Latvia"
"abn-amro-bank","ABN Amro Bank","Netherlands"
"abn-amro-bank-nv","ABN Amro Bank N.V.","Netherlands"
"abn-amro-bank-nv-amsterdam-netherlands-nld","ABN Amro Bank NV","Netherlands"
"abn-amro-bank-nv-netherlands-nld","ABN Amro Bank N.V.","Netherlands"
"abn-amro-bank-nv-rotterdam-netherlands-nld","ABN Amro Bank N.V. ","Netherlands"
"abn-amro-bank-nv-uae-are","ABN Amro Bank NV","United Arab Emirates"
"abn-amro-bank-nv-uae-dubai-uae-are","ABN Amro Bank N.V.  Uae","United Arab Emirates"
"abn-amro-bank-nvamsterdam","ABN Amro Bank N.V.,Amsterdam","Netherlands"
"abn-amro-clearing-bank-nv-amsterdam-netherlands-nld","ABN Amro Clearing Bank N.V.","Netherlands"
"abn-amro-luxembourg-lux","ABN Amro","Luxembourg"
"abu-dhabi-commercial-bank","Abu Dhabi Commercial Bank","United Arab Emirates"
"access-bank-uk-limited-london-gb-gbr","Access Bank UK Limited","United Kingdom"
"active-bank","Active Bank","Ukraine"
"aegean-baltic-bank-sa","Aegean Baltic Bank S.A.","Greece"
"afgan-united-bank-kabul-afghanistan-afg","Afgan United Bank","Afghanistan"
"afghan-united-bank-kabul-afghanistan-afg","Afghan United Bank","Afghanistan"
"afrasia-bank-limited-port-luis-mauritius-mus","Afrasia Bank Limited","Mauritius"
"agricultural-bank-of-china-beijing-china-chn","Agricultural Bank of China","China"
"agricultural-bank-of-china-china-chn","Agricultural Bank of China","China"
"agricultural-bank-of-china-liaoning-branch-shenyang-china-chn","Agricultural Bank of China Liaoning Branch","China"
"agricultural-bank-of-china-limited-china-chn","Agricultural Bank of China Limited","China"
"agricultural-bank-of-china-qingdao-china-chn","Agricultural Bank of China","China"
"agricultural-bank-of-china-shandong-province-china-chn","Agricultural Bank of China","China"
"agricultural-development-bank-of-china-beijing-china-chn","Agricultural Development Bank of China","China"
"agropromcredit","Agropromcredit","Russia"
"ahli-bank-qsc","Ahli Bank Q.S.C","Qatar"
"aib-allied-irish-bank","Aib Allied Irish Bank","Ireland"
"aig-private-bank","Aig Private Bank","Switzerland"
"aizkraukles","Aizkraukles","Latvia"
"aizkraukles-banka","Aizkraukles Banka","Latvia"
"aizkraukles-banka-latvia-lva","Aizkraukles Banka","Latvia"
"aizkraukles-banka-riga-latvia-lva","Aizkraukles Banka","Latvia"
"aizraulkles-banka","Aizraulkles Banka","Latvia"
"aizraulkles-banka-latvia-lva","Aizraulkles Banka","Latvia"
"akbank-t-a-s-turkey-tur","Akbank T A S","Turkey"
"akbank-tas","Akbank T.A.S.","Turkey"
"akbank-tas-turkey-tur","Akbank Tas","Turkey"
"akciju-komercbanka-baltikums","Akciju Komercbanka Baltikums","Latvia"
"aktia-savings-bank","Aktia Savings Bank","Finland"
"aktsionernyy-kommercheskiy-bank-basmannyy","Aktsionernyy Kommercheskiy Bank Basmannyy","Russia"
"al-baraka-bank-egypt","Al Baraka Bank Egypt","Egypt"
"al-inma-bank-riyadh-saudi-arabia-sau","Al Inma Bank","Saudi Arabia"
"al-mawarid-bank","Al Mawarid Bank","Lebanon"
"al-watany-bank-of-egypt","Al Watany Bank of Egypt","Egypt"
"albaraka-bank","Albaraka Bank","Egypt"
"albaraka-bank-egypt","Albaraka Bank Egypt","Egypt"
"albaraka-turk-participation-bank","Albaraka Turk Participation Bank","Turkey"
"albaraka-turk-participation-bank-istanbul-turkey-tur","Albaraka Turk Participation Bank","Turkey"
"albarakaturk-participation-bank-istanbul-turkey-tur","Albarakaturk Participation Bank","Turkey"
"alcoa-inc-pittsburgh-pa-usa","Alcoa Inc","United States"
"alfa-bank","Alfa Bank","Russia"
"alfa-bank-moscow-russia-rus","Alfa-Bank","Russia"
"alfa-bank-russia-rus","Alfa Bank","Russia"
"alfa-exchange","Alfa Exchange","United Arab Emirates"
"alfabank","Alfabank","Russia"
"alfabank-moscow-russia-rus","Alfabank","Russia"
"alior-bank-sa","Alior Bank S.A.","Poland"
"alior-bank-sa-warsaw-poland-pol","Alior Bank S.A.","Poland"
"alior-bank-spolka-akcyjna","Alior Bank Spolka Akcyjna","Poland"
"allahabad-bank-mumbai-india-ind","Allahabad Bank","India"
"alliance-bank","Alliance Bank","Kazakhstan"
"alliance-bank-almaty-kazakhstan-kaz","Alliance Bank","Kazakhstan"
"alliance-bank-malaysia-berhad-kuala-lumpur-malaysia-mys","Alliance Bank Malaysia Berhad","Malaysia"
"allied-bank-limited-failasabad-pakistan-pak","Allied Bank Limited","Pakistan"
"allied-bank-limited-karachi-pakistan-pak","Allied Bank Limited","Pakistan"
"allied-bank-limited-pakistan-pak","Allied Bank Limited","Pakistan"
"aloir-bank-spolka-akcyjna","Aloir Bank Spolka Akcyjna","Poland"
"alpha-bank-cyprus-ltd","Alpha Bank Cyprus Ltd","Cyprus"
"ambank-m-berhad-malaysia-mys","Ambank","Malaysia"
"american-business-bank","American Business Bank","United States"
"american-express-bank-ltd","American Express Bank, Ltd.","United States"
"amicorp-bank-and-trust-ltd","Amicorp Bank And Trust Ltd","Barbados"
"amicorp-bank-and-trust-ltd-barbados-brb","Amicorp Bank And Trust Ltd","Barbados"
"amro-bank","Amro Bank","Netherlands"
"amsterdam-trade-bank","Amsterdam Trade Bank","Netherlands"
"amsterdam-trade-bank-n-v-netherlands-nld","Amsterdam Trade Bank N V","Netherlands"
"amsterdam-trade-bank-nv","Amsterdam Trade Bank NV","Netherlands"
"amsterdam-trade-bank-nv-amsterdam-netherlands-nld","Amsterdam Trade Bank NV","Netherlands"
"anadolubank-as","Anadolubank A.S.","Turkey"
"anadolubank-as-istanbul-turkey-tur","Anadolubank A.S.","Turkey"
"andbanc","Andbanc","Panama"
"andbanc-monaco","Andbanc Monaco","Monaco"
"andbanc-monaco-sam-monte-carlo-monaco-mco","Andbanc Monaco Sam","Monaco"
"andbanc-panama-sa-panama-city-panama-pan","Andbanc","Panama"
"andhra-bank-ltd-mumbai-india-ind","Andhra Bank Ltd","India"
"anlage-und-privatbank-ag","Anlage Und PrivatBank Ag ","Germany"
"anz-royal-bank","Anz Royal Bank","Cambodia"
"ao-raiffeisenbank","AO Raiffeisenbank","Russia"
"ao-raiffeisenbank-treasury-services","AO Raiffeisenbank Treasury Services","Russia"
"ao-rietumu-banka-latvia-lva","AO Rietumu Banka","Latvia"
"ao-unicredit-bank-russian-federation-rus","AO UniCredit Bank","Russia"
"ap-anlage-und-privatbank-ag","Ap Anlage Und PrivatBank AG","Switzerland"
"ap-anlage-und-private-bank-ag-switzerland-che","Ap Anlage Und Private Bank AG","Switzerland"
"apex-clearing-corporation","Apex Clearing Corporation","United States"
"apple-federal-credit-union-virginia-us-usa","Apple Federal Credit Union","United States"
"arab-bank-for-investment","Arab Bank For Investment","United Arab Emirates"
"arab-bank-for-investment-foreign-trade","Arab Bank For Investment & Foreign Trade","United Arab Emirates"
"arab-bank-for-investment-foreign-trade-abu-dhabi-uae-are","Arab Bank For Investment & Foreign Trade","United Arab Emirates"
"arab-bank-for-investment-foreign-trade-abu-dhabi-united-arab-emirates-are","Arab Bank For Investment & Foreign Trade","United Arab Emirates"
"arab-bank-plc-dubai-are","Arab Bank Plc","United Arab Emirates"
"arab-turkish-bank","Arab Turkish Bank","Turkey"
"arbejdernes-landsbank-as-copenhagen-denmark-dnk","Arbejdernes Landsbank A/S","Denmark"
"aresbank","Aresbank","Russia"
"armbusinessbank","Armbusinessbank","Armenia"
"armswissbank-cjsc","Armswissbank Cjsc","Armenia"
"arzi-bank-a-g-zurich-switzerland-che","Arzi Bank A G","Switzerland"
"as-akciju-komercbanka-baltikums-riga-latvia-lva","A/S Akciju Komercbanka Baltikums","Latvia"
"as-expo-bank","AS Expo Bank","Latvia"
"as-expo-bank-riga-latvia-lva","AS Expo Bank","Latvia"
"as-expobank","AS Expobank","Latvia"
"as-expobank-latvia-lva","AS Expobank","Latvia"
"as-expobank-riga-latvia-lva","AS Expobank","Latvia"
"as-lhv-pank-tallinn-estonia-est","AS LHV Pank","Estonia"
"as-meridian-trade-bank","AS Meridian Trade Bank","Latvia"
"as-meridian-trade-bank-riga-latvia-lva","AS Meridian Trade Bank","Latvia"
"as-privatbank","AS PrivatBank","Latvia"
"as-privatbank-latvia-lva","AS PrivatBank","Latvia"
"as-privatbank-lv-lva","AS PrivatBank","Latvia"
"as-privatbank-riga-latvia-lva","AS PrivatBank","Latvia"
"as-privatbank-ukraine-ukr","AS PrivatBank","Ukraine"
"as-sampo-bank-tallinn-estonia-est","AS Sampo Bank","Estonia"
"as-sampo-pank-talinn","AS Sampo Pank, Talinn","Estonia"
"as-sampo-pank-tallinn-estonia-est","AS Sampo Pank, Tallinn","Estonia"
"asb-bank-limited-auckland-new-zealand-nzl","Asb Bank Limited","New Zealand"
"asbbank-limited-auckland-new-zealand-nzl","Asbbank Limited","New Zealand"
"associated-foreign-exchange","Associated Foreign Exchange","United States"
"asya-katilim-bankasi-a-s","Asya Katilim Bankasi A S","Turkey"
"asya-katilim-bankasi-as","Asya Katilim Bankasi A.S.","Turkey"
"asya-katilim-bankasi-as-istanbul-turkey-tur","Asya Katilim Bankasi A.S.","Turkey"
"atabank-baku-azerbaijan-aze","Atabank","Azerbaijan"
"atlantic-bank-ltd-belize-city-belize-blz","Atlantic Bank Ltd","Belize"
"atlantic-security-bank-georgetown-cayman-islands-cym","Atlantic Security Bank","Cayman Islands"
"audi-private-bank-sal-beirut-lebanon-lbn","Audi Private Bank S.A.L.","Lebanon"
"australia-and-new-zealand-banking","Australia And New Zealand Banking","Australia"
"australia-and-new-zealand-banking-group-ltd","Australia And New Zealand Banking Group Ltd","Hong Kong"
"australia-and-new-zealand-bkg-group-hong-kong-hong-kong-hkg","Australia And New Zealand Bkg Group, Hong Kong","Hong Kong"
"australia-and-new-zealand-bkg-grp-hong-kong-hkg","Australia And New Zealand Bkg Grp","Hong Kong"
"axis-bank-limited-meerut-india-ind","Axis Bank Limited","India"
"axis-bank-ltd-india-ind","Axis Bank Ltd","India"
"axis-bank-mohalla-india-ind","Axis Bank","India"
"azerpost-baku-azerbaijan-aze","Azerpost","Azerbaijan"
"azizi-bank-kabul-afghanistan-afg","Azizi Bank","Afghanistan"
"bakhtar-bank","Bakhtar Bank","Afghanistan"
"bakhtar-bank-kabul-afghanistan-afg","Bakhtar Bank","Afghanistan"
"baltic-international-bank","Baltic International Bank","Latvia"
"baltik-development-bank","Baltik Development Bank","Russia"
